Cape Cod Hours  2021-2022,,
,,
Financial Year Summary,,
,428.5,Billed Hours
,,$0 
"$36,422.50 ",428.5,Total Hours
,,
July,,
16/7/2021,1,tix
20/7/2021,5,incidents
21/7/2021,6,incidents
22/7/2021,3.5,incidents
23/7/2021,5.5,incidents
26/7/2021,8,incidents
27/7/2021,7,incidents
28/7/2021,2.5,incidents
29/7/2021,7,"incidents, tix"
30/7/2021,4,incidents
"$4,207.50 ",49.5,Total hours
$420.75 ,GST,
"$4,628.25 ",Total,
,,
August,,
2/8/2021,1.5,incidents
3/8/2021,2,incidents
4/8/2021,1.5,incidents
9/8/2021,4,incidents
10/8/2021,3,incidents
11/8/2021,1,incidents
12/8/2021,9.5,incidents
13/8/2021,5.5,incidents
15/8/2021,1.5,incidents dev upload
16/8/2021,5.5,incidents
17/8/2021,1.5,incidents
"$3,102.50 ",36.5,Total hours
$310.25 ,GST,
"$3,412.75 ",Total,
,,
September,,
14/9/2021,3,tix
16/9/2021,2,incidents
22/9/2021,1.5,construction planner
23/9/2021,1,construction planner
$637.50 ,7.5,Total hours
$63.75 ,GST,
$701.25 ,Total,
,,
October,,
6/10/2021,1,tix
7/10/2021,4.5,pre-construction
14/10/2021,3.5,"pre-construction, tix"
$765.00 ,9,Total hours
$76.50 ,GST,
$841.50 ,Total,
,,
November,,
16/11/2021,1,tix
17/11/2021,1,tix
18/11/2021,2.5,pre-construction
23/11/2021,3.5,"tix, pre-construction"
24/11/2021,3.5,incidents
25/11/2021,6,incidents
30/11/2021,10,"pre-construction, incidents"
"$2,337.50 ",27.5,Total hours
$233.75 ,GST,
"$2,571.25 ",Total,
,,
December,,
15/12/2021,2,pre-construction
16/12/2021,3,"incidents, tix"
31/12/2021,20,"incidents, SDS (prebilled)"
"$2,125.00 ",25,Total hours
$212.50 ,GST,
"$2,337.50 ",Total,
,,
January,,
4/1/2022,8.5,Incidents
5/1/2022,4,SDS
6/1/2022,6,SDS
7/1/2022,1,SDS
10/1/2022,6.5,Incidents
12/1/2022,9,Incidents
13/1/2022,3,Tix
31/1/2022,1,Tix
30/1/2022,-20,Refund hours
"$1,615.00 ",19,Total hours
$161.50 ,GST,
"$1,776.50 ",Total,
,,
Febuary,,
2/2/2022,5.5,tix
3/2/2022,1.5,tix
4/2/2022,2,tix
9/2/2022,3,client planner email
10/2/2022,2.5,scaffold certificate
11/2/2022,3.5,scaffold certificate
14/2/2022,7.5,client planner email
15/2/2022,9.5,client planner email
16/2/2022,5,"client planner email, tix"
17/2/2022,5,client planner email
18/2/2022,1.5,chat with Paul
21/2/2022,5,client planner email
23/2/2022,4,client planner email
24/2/2022,1,tix
28/2/2022,6,"dev evironment, tix"
"$5,312.50 ",62.5,Total hours
$531.25 ,GST,
"$5,843.75 ",Total,
,,
March,,
1/3/2022,5,zoho import
2/3/2022,9,"zoho import, incidents"
3/3/2022,5.5,zoho import
8/3/2022,9.5,zoho import
9/3/2022,4.5,zoho import
17/3/2022,2,tix
22/3/2022,1,tix
24/3/2022,2,tix
25/3/2022,2,tix
"$3,442.50 ",40.5,Total hours
$344.25 ,GST,
"$3,786.75 ",Total,
,,
April,,
6/4/2022,5.5,tix
11/4/2022,5,zoho
12/4/2022,1,tix
14/4/2022,6,tix
21/4/2022,11,"zoho, tix"
23/4/2022,1,zoho
24/4/2022,4.5,zoho
26/4/2022,7,zoho
27/4/2022,4.5,"zoho, tix"
28/4/2022,3,zoho
29/4/2022,4,zoho
30/4/2022,1,zoho
"$4,547.50 ",53.5,Total hours
$454.75 ,GST,
"$5,002.25 ",Total,
,,
May,,
1/5/2022,4,zoho
3/5/2022,1.5,tix
4/5/2022,4,"zoho, tix"
6/5/2022,2.5,tix
12/5/2022,2,tix
13/5/2022,2,tix
16/5/2022,5,client planner
19/5/2022,4,standard details
20/5/2022,3,"standard details, tix"
24/5/2022,1,tix
25/5/2022,1,tix
26/5/2022,1,tix
27/5/2022,2,"standard details, tix"
31/5/2022,4,standard details
"$3,145.00 ",37,Total hours
$314.50 ,GST,
"$3,459.50 ",Total,
,,
June,,
2/6/2022,0.5,tix
3/6/2022,7.5,standard details
4/6/2022,3,standard details
6/6/2022,7,"site roster, tix"
7/6/2022,3,upcoming
8/6/2022,4.5,"upcoming, tix"
9/6/2022,5,upcoming
13/6/2022,4.5,"upcoming, tix"
14/6/2022,2,tix
15/6/2022,1.5,tix
23/6/2022,3,tix
24/6/2022,6.5,"upcoming, tix"
25/6/2022,3.5,tix
27/6/2022,1.5,tix
29/6/2022,3,tix
30/6/2022,5,inspection reports
"$5,185.00 ",61,Total hours
$518.50 ,GST,
"$5,703.50 ",Total,
