Cape Cod Hours  2017-2018,,
,,
Financial Year Summary,,
,334.5,Billed Hours
,,Discounted Hours
"$25,087.50 ",334.5,Total Hours
,,
July,,
5/7/2018,1.5,support tix
6/7/2018,0.5,Jo chat
9/7/2018,1.5,support tix
10/7/2018,1.5,support tix
11/7/2018,3,support tix
15/7/2018,2,support tix
17/7/2018,1.5,support tix
18/7/2018,1,support tix
$937.50 ,12.5,Total hours
$93.75 ,GST,
"$1,031.25 ",Total,
,,
August,,
1/8/2018,5,support tix
2/8/2018,5,support tix
7/8/2018,2.5,support tix
15/8/2018,1.5,support tix
16/8/2018,5,support tix
20/8/2018,2.5,support tix
21/8/2018,2.5,support tix
22/8/2018,4.5,"support tix, performance"
27/8/2018,2,"support tix, performance"
28/8/2018,1,"support tix, performance"
"$2,362.50 ",31.5,Total hours
$236.25 ,GST,
"$2,598.75 ",Total,
,,
September,,
5/9/2018,3,support tix
6/9/2018,6,"user docs, support tix"
9/9/2018,2,support tix
17/9/2018,2.5,support tix
19/9/2018,2.5,support tix
20/9/2018,6.5,support tix
25/9/2018,1,support tix
26/9/2018,1.5,support tix
27/9/2018,2,support tix
29/9/2018,6,report
"$2,475.00 ",33,Total hours
$247.50 ,GST,
"$2,722.50 ",Total,
,,
October,,
12/10/2018,1,bugs
17/10/2018,6,user docs
18/10/2018,4.5,user docs
22/10/2018,6,"user docs, support tix"
23/10/2018,5,support tix
30/10/2018,3,support tix
31/10/2018,9,compliance override
1/10/2018,5.5,compliance override
,,
"$3,000.00 ",40,Total hours
$300.00 ,GST,
"$3,300.00 ",Total,
,,
November,,
6/11/2018,2.5,user docs
7/11/2018,3,user docs
8/11/2018,5.5,user docs
14/11/2018,4.5,user docs
15/11/2018,5.5,equipment
16/11/2018,3.5,equipment
17/11/2018,7.5,equipment
18/11/2018,2,equipment
20/11/2018,0.5,Jo chat
21/11/2018,9.5,equipment
22/11/2018,6,equipment
23/11/2018,6.5,equipment
24/11/2018,1,equipment
25/11/2018,1,equipment
28/11/2018,4,equipment
29/11/2018,7.5,equipment
30/11/2018,6,equipment
"$5,700.00 ",76,Total hours
$570.00 ,GST,
"$6,270.00 ",Total,
,,
December,,
3/12/2018,1,equipment
4/12/2018,2.5,equipment
5/12/2018,1,equipment
6/12/2018,5.5,equipment
7/12/2018,2,equipment
11/12/2018,1,equipment
12/12/2018,5,equipment
15/12/2018,1,golive
19/12/2018,4.5,equipment
20/12/2018,4.5,equipment
21/12/2018,1.5,equipment
"$2,212.50 ",29.5,Total hours
$221.25 ,GST,
"$2,433.75 ",Total,
,,
January,,
22/1/2019,5,user docs
24/1/2019,3.5,"user docs, equipment, support tix"
25/1/2019,1,equipment
29/1/2019,5.5,"equipment, support tix"
30/1/2019,8,"equipment, user docs, support tix"
,,
30/1/2019,16,Software Upgrade buffer
"$2,925.00 ",39,Total hours
$292.50 ,GST,
"$3,217.50 ",Total,
,,
Febuary,,
1/2/2019,5,user docs
2/2/2019,1,user docs
5/2/2019,1,support tix
6/2/2019,6,"user docs, support tix"
12/2/2019,1.5,support tix
14/2/2019,3.5,support tix
21/2/2019,1,support tix
28/2/2019,3,support tix
"$1,650.00 ",22,Total hours
$165.00 ,GST,
"$1,815.00 ",Total,
,,
March,,
6/3/2019,4.5,"equipment, support tix"
7/3/2019,4,"equipment, support tix"
20/3/2019,4.5,"equipment, support tix"
30/3/2019,2,"equipment, support tix"
"$1,125.00 ",15,Total hours
$112.50 ,GST,
"$1,237.50 ",Total,
,,
April,,
5/4/2019,2,support tix
6/4/2019,1,support tix
7/4/2019,1.5,support tix
21/4/2019,1,ssl renew
25/4/2019,1.5,support tix
30/4/2019,1,support tix
$600.00 ,8,Total hours
$60.00 ,GST,
$660.00 ,Total,
,,
May,,
1/5/2019,1,support tix
7/5/2019,1.5,support tix
14/5/2019,1,equipment
15/5/2019,2.5,equipment
16/5/2019,4,equipment
17/5/2019,2,equipment
18/5/2019,1,equipment
21/5/2019,3,"equipment, support tix"
"$1,200.00 ",16,Total hours
$120.00 ,GST,
"$1,320.00 ",Total,
,,
June,,
5/6/2019,1,support tix
6/6/2019,2,support tix
20/6/2019,3,support tix
30/6/2019,6,support tix
$900.00 ,12,Total hours
$90.00 ,GST,
$990.00 ,Total,
