Cape Cod Hours  2019-2020,,
,,
Financial Year Summary,,
,196,Billed Hours
,,Discounted Hours
"$14,700.00 ",196,Total Hours
,,
July,,
9/7/2019,1,support tix
24/7/2019,4.5,support tix
$412.50 ,5.5,Total hours
$41.25 ,GST,
$453.75 ,Total,
,,
August,,
7/8/2019,1.5,equipment
8/8/2019,2,equipment
9/8/2019,1,support tix
13/8/2019,2.5,"support tix, equipment"
21/8/2019,2,equipment
29/8/2019,2,support tix
$825.00 ,11,Total hours
$82.50 ,GST,
$907.50 ,Total,
,,
September,,
8/9/2019,1,support tix
19/9/2019,6,"support tix, equipment, Jo chat"
$525.00 ,7,Total hours
$52.50 ,GST,
$577.50 ,Total,
,,
October,,
2/10/2019,2,support tix
3/10/2019,7,support tix
10/10/2019,2,support tix
24/10/2019,1,"jo chat, maintenance"
$900.00 ,12,Total hours
$90.00 ,GST,
$990.00 ,Total,
,,
November,,
6/11/2019,1,support tix
14/11/2019,1,support tix
28/11/2019,5,maintenance
$525.00 ,7,Total hours
$52.50 ,GST,
$577.50 ,Total,
,,
December,,
2/12/2019,1,maintenance
3/12/2019,1,maintenance
10/12/2019,7,maintenance
11/12/2019,3,maintenance
$900.00 ,12,Total hours
$90.00 ,GST,
$990.00 ,Total,
,,
January,,
4/1/2020,2.5,maintenance
$187.50 ,2.5,Total hours
$18.75 ,GST,
$206.25 ,Total,
,,
Febuary,,
15/2/2020,1,support tix
16/2/2020,1,support tix
21/2/2020,2.5,support tix
27/2/2020,3,support tix
$562.50 ,7.5,Total hours
$56.25 ,GST,
$618.75 ,Total,
,,
March,,
5/3/2020,2,support tix
18/3/2020,1,support tix
26/3/2020,1,support tix
28/3/2020,1,support tix
$375.00 ,5,Total hours
$37.50 ,GST,
$412.50 ,Total,
,,
April,,
1/4/2020,2,support tix
2/4/2020,3,support tix
7/4/2020,1,support tix
$450.00 ,6,Total hours
$45.00 ,GST,
$495.00 ,Total,
,,
May,,
4/5/2020,2.5,support tix
5/5/2020,5,support tix
11/5/2020,1,support tix
14/5/2020,1,support tix
15/5/2020,1,support tix
18/5/2020,1,support tix
30/5/2020,20,Pre-billed
"$2,362.50 ",31.5,Total hours
$236.25 ,GST,
"$2,598.75 ",Total,
,,
June,,
3/6/2020,4.5,support tix
7/6/2020,1.5,support tix
17/6/2020,1,support tix
22/6/2020,2,maintenance
24/6/2020,2,maintenance
25/6/2020,3,maintenance
30/6/2020,10,Pre-billed
30/6/2020,65,Pre-billed (Rob)
"$6,675.00 ",89,Total hours
$667.50 ,GST,
"$7,342.50 ",Total,
